"customer","total_orders","total_revenue","avg_order_value","customer_segment"
Anthony Jacobs,7,4867.34,324.49,High Value
Joe Kamberova,10,4867.20,243.36,High Value
Alan Hwang,9,4805.34,369.64,High Value
Dean Katz,9,4802.39,252.76,High Value
Russell Applegate,9,4793.54,217.89,High Value
Sue Ann Reed,10,4767.34,227.02,High Value
Jim Kriz,9,4760.43,396.70,High Value
Bart Watters,8,4750.36,279.43,High Value
Tracy Blumstein,9,4737.49,236.87,High Value
Giulietta Baptist,5,4716.29,294.77,High Value
Rick Bensley,12,4715.47,205.02,High Value
Erin Smith,9,4657.92,232.90,High Value
Deborah Brumfield,8,4655.90,358.15,High Value
Kean Thornton,10,4642.09,357.08,High Value
Sample Company A,9,4624.57,308.30,High Value
Eugene Moren,6,4588.44,218.50,High Value
Dave Brooks,7,4531.65,348.59,High Value
Anthony Rawles,8,4523.34,347.95,High Value
Arthur Gainer,10,4510.80,214.80,High Value
Anthony Johnson,7,4501.39,214.35,High Value
Linda Cazamias,8,4492.95,320.92,High Value
Stewart Carmichael,7,4492.66,213.94,High Value
Theone Pippenger,9,4454.06,278.38,High Value
Mark Cousins,5,4432.14,443.21,High Value
Jamie Kunitz,5,4427.14,340.55,High Value
Katrina Willman,5,4416.52,441.65,High Value
Bradley Drucker,6,4411.24,441.12,High Value
Arianne Irving,10,4375.79,243.10,High Value
Scot Coram,4,4371.96,397.45,High Value
Ellis Ballard,5,4358.13,544.77,High Value
Gary Zandusky,9,4355.15,311.08,High Value
Steven Roelle,8,4345.89,362.16,High Value
Natalie DeCherney,9,4326.14,240.34,High Value
Matt Abelman,11,4299.16,126.45,High Value
Sung Pak,10,4282.94,178.46,High Value
Dana Kaydos,5,4282.18,285.48,Mid Value
Rick Duston,8,4272.93,284.86,Mid Value
Toby Carlisle,8,4266.81,266.68,Mid Value
Alan Schoenberger,5,4260.78,327.75,Mid Value
Frank Hawley,10,4256.27,202.68,Mid Value
Claudia Bergmann,8,4246.46,223.50,Mid Value
Tracy Hopkins,7,4234.10,325.70,Mid Value
Bill Eplett,5,4204.68,467.19,Mid Value
Jill Fjeld,8,4198.33,262.40,Mid Value
Gary Hwang,4,4172.85,417.28,Mid Value
Roland Schwarz,8,4159.77,297.13,Mid Value
Muhammed Yedwab,11,4152.70,197.75,Mid Value
Peter McVee,4,4115.66,587.95,Mid Value
Stewart Visinsky,9,4105.31,164.21,Mid Value
Denise Monton,8,4074.47,313.42,Mid Value
Frank Preis,8,4046.75,289.05,Mid Value
Susan Pistek,6,3990.69,285.05,Mid Value
Craig Molinari,4,3984.45,306.50,Mid Value
Michael Paige,9,3983.64,199.18,Mid Value
Sean Christensen,7,3979.06,331.59,Mid Value
Sanjit Jacobs,12,3949.66,164.57,Mid Value
Luke Foster,7,3930.51,245.66,Mid Value
Pierre Wener,7,3922.42,326.87,Mid Value
George Ashbrook,8,3919.78,279.98,Mid Value
Ken Heidel,9,3918.97,230.53,Mid Value
Chris Cortes,12,3913.42,177.88,Mid Value
Dorothy Badders,7,3908.80,279.20,Mid Value
Nora Paige,5,3908.40,390.84,Mid Value
Kelly Collister,4,3908.26,781.65,Mid Value
Fred Chung,7,3889.37,388.94,Mid Value
Bill Stewart,5,3887.83,299.06,Mid Value
John Stevenson,5,3868.02,429.78,Mid Value
Ruben Ausman,7,3832.31,255.49,Mid Value
Annie Thurman,10,3831.86,239.49,Mid Value
Olvera Toch,5,3818.62,381.86,Mid Value
Rose O'Brian,7,3815.48,317.96,Mid Value
Michael Chen,7,3805.71,271.84,Mid Value
Michael Moore,11,3794.08,237.13,Mid Value
Carol Adams,6,3789.72,378.97,Mid Value
Matthew Grinstein,7,3785.28,270.38,Mid Value
Maribeth Dona,7,3766.38,221.55,Mid Value
Jim Karlsson,7,3760.03,313.34,Mid Value
Juliana Krohn,3,3747.67,416.41,Mid Value
Frank Merwin,9,3736.20,186.81,Mid Value
Scott Cohen,8,3729.79,207.21,Mid Value
Hunter Glantz,7,3690.28,335.48,Mid Value
Ben Peterman,9,3675.86,204.21,Mid Value
Liz Preis,7,3653.40,243.56,Mid Value
Christopher Schild,9,3651.86,260.85,Mid Value
Ed Braxton,9,3644.98,303.75,Mid Value
Jeremy Pistek,7,3635.59,227.22,Mid Value
Sam Zeldin,11,3625.33,181.27,Mid Value
Rick Hansen,5,3621.38,452.67,Mid Value
Thomas Boland,4,3589.30,326.30,Mid Value
Gary McGarr,7,3582.82,325.71,Mid Value
Dionis Lloyd,8,3539.32,294.94,Mid Value
Erica Smith,5,3510.46,438.81,Mid Value
Robert Waldorf,5,3495.65,233.04,Mid Value
Anna Gayman,7,3489.04,232.60,Mid Value
Emily Ducich,8,3484.92,248.92,Mid Value
Pauline Webber,10,3454.92,265.76,Mid Value
Sarah Foster,9,3422.79,228.19,Mid Value
Frank Carlisle,7,3418.74,244.20,Mid Value
Sally Hughsby,13,3406.84,117.48,Mid Value
Sandra Glassco,3,3406.58,309.69,Mid Value
Trudy Schmidt,5,3368.09,240.58,Mid Value
Sam Craven,5,3362.96,197.82,Mid Value
Victoria Pisteka,7,3360.53,240.04,Mid Value
Doug Jacobs,3,3356.40,419.55,Mid Value
Dianna Vittorini,6,3341.59,222.77,Mid Value
Sylvia Foulston,9,3336.54,196.27,Mid Value
Dan Campbell,9,3336.17,185.34,Mid Value
Arthur Prichep,10,3323.56,107.21,Mid Value
Dennis Kane,8,3318.49,144.28,Mid Value
Katharine Harms,8,3312.86,184.05,Mid Value
Randy Ferguson,8,3309.15,206.82,Mid Value
Rick Reed,6,3302.26,330.23,Mid Value
Brian Dahlen,7,3288.47,164.42,Mid Value
Brian Stugart,3,3288.11,298.92,Mid Value
Rob Williams,9,3279.75,204.98,Mid Value
Daniel Lacy,6,3272.20,233.73,Mid Value
Damala Kotsonis,12,3256.48,120.61,Mid Value
Adam Shillingsburg,9,3255.31,130.21,Mid Value
Jack O'Briant,9,3254.95,250.38,Mid Value
Adam Hart,10,3250.34,162.52,Mid Value
Henry Goldwyn,12,3247.64,191.04,Mid Value
Lindsay Castell,4,3246.63,463.80,Mid Value
Carol Triggs,8,3241.90,180.11,Mid Value
Edward Becker,10,3236.31,161.82,Mid Value
Sharelle Roach,5,3233.48,359.28,Mid Value
Lindsay Williams,6,3230.31,293.66,Mid Value
Ricardo Sperren,5,3221.29,357.92,Mid Value
Alejandro Savely,6,3214.24,401.78,Mid Value
Mark Packer,7,3206.13,229.01,Mid Value
Christine Sundaresam,11,3202.16,145.55,Mid Value
Brian Thompson,7,3196.75,159.84,Mid Value
Deirdre Greer,5,3195.82,399.48,Mid Value
Jeremy Lonsdale,6,3173.87,186.70,Mid Value
Greg Matthias,6,3163.63,287.60,Mid Value
Janet Martin,6,3159.12,166.27,Mid Value
Chloris Kastensmidt,13,3154.85,98.59,Mid Value
Karen Bern,7,3152.61,315.26,Mid Value
Maxwell Schwartz,9,3144.68,165.51,Mid Value
Ruben Dartt,9,3133.92,149.23,Mid Value
Tanja Norvell,7,3130.22,260.85,Mid Value
Steve Nguyen,7,3127.96,164.63,Mid Value
Speros Goranitis,6,3124.83,240.37,Mid Value
Katherine Hughes,6,3100.61,221.47,Mid Value
Patrick Gardner,13,3086.91,118.73,Mid Value
Eugene Hildebrand,10,3082.65,171.26,Mid Value
Gary Mitchum,6,3078.62,256.55,Mid Value
Eugene Barchas,6,3071.13,279.19,Mid Value
Mike Gockenbach,4,3061.54,382.69,Mid Value
Toby Gnade,5,3058.37,339.82,Mid Value
Kean Takahito,7,3057.10,218.36,Mid Value
Shahid Shariari,6,3056.81,254.73,Mid Value
Sara Luxemburg,7,3053.01,339.22,Mid Value
Aaron Smayling,7,3050.69,305.07,Mid Value
Cynthia Arntzen,7,3041.57,178.92,Mid Value
Carlos Soltero,11,3036.55,138.02,Mid Value
Lindsay Shagiari,9,2988.67,135.85,Mid Value
Michelle Huthwaite,5,2984.95,298.49,Mid Value
Frank Atkinson,7,2984.05,175.53,Mid Value
David Bremer,7,2973.09,212.36,Mid Value
Noel Staavos,13,2964.82,114.03,Mid Value
Tamara Manning,8,2955.23,155.54,Mid Value
Christine Kargatis,5,2945.32,245.44,Mid Value
Thea Hudgings,4,2942.77,326.97,Mid Value
Liz Thompson,8,2936.25,209.73,Mid Value
Becky Castell,9,2933.68,162.98,Mid Value
Julie Kriz,10,2932.48,172.50,Mid Value
Shaun Weien,7,2921.54,324.62,Mid Value
Maris LaWare,6,2921.50,194.77,Mid Value
Rob Dowd,10,2912.89,153.31,Mid Value
Craig Yedwab,8,2900.03,263.64,Mid Value
Neil Ducich,6,2893.46,361.68,Mid Value
Meg Tillman,6,2890.14,289.01,Mid Value
Barry Französisch,8,2888.51,137.55,Mid Value
David Smith,9,2881.81,144.09,Mid Value
Paul Van Hugh,5,2876.05,221.23,Mid Value
Ionia McGrath,3,2872.63,718.16,Mid Value
Chuck Clark,10,2870.05,151.06,Mid Value
Craig Carroll,4,2854.12,237.84,Mid Value
Arthur Wiediger,7,2852.97,178.31,Mid Value
Erin Ashbrook,13,2846.71,113.87,Mid Value
Linda Southworth,6,2845.27,203.23,Mid Value
Darren Budd,5,2839.23,202.80,Mid Value
Justin MacKendrick,10,2833.93,149.15,Mid Value
Christina VanderZanden,5,2830.63,217.74,Mid Value
Troy Staebel,7,2820.42,256.40,Mid Value
Gary Hansen,9,2819.47,165.85,Mid Value
Barry Gonzalez,8,2798.95,233.25,Mid Value
Trudy Brown,9,2797.67,186.51,Mid Value
Robert Dilbeck,5,2786.63,557.33,Mid Value
John Castell,9,2772.05,173.25,Mid Value
Philip Fox,6,2770.00,277.00,Mid Value
Emily Burns,10,2767.22,251.57,Mid Value
Chris Selesnick,12,2754.22,98.36,Mid Value
Michelle Moray,8,2749.88,144.73,Mid Value
Ken Black,12,2744.74,119.34,Mid Value
Lauren Leatherbury,6,2741.20,228.43,Mid Value
Marc Crier,8,2725.98,209.69,Mid Value
John Lucas,6,2725.26,247.75,Mid Value
Marina Lichtenstein,9,2722.84,136.14,Mid Value
Jay Kimmel,8,2709.63,159.39,Mid Value
Justin Ellison,3,2697.25,385.32,Mid Value
Bradley Talbott,5,2684.49,268.45,Mid Value
Bill Overfelt,5,2682.73,223.56,Mid Value
Frank Olsen,10,2678.44,178.56,Mid Value
Nicole Hansen,7,2673.29,243.03,Mid Value
Richard Bierner,8,2663.09,166.44,Mid Value
Eva Jacobs,5,2656.69,332.09,Mid Value
Dave Kipp,7,2650.56,203.89,Mid Value
Christina Anderson,9,2648.29,155.78,Mid Value
Logan Currie,9,2633.58,138.61,Mid Value
Ralph Arnett,9,2617.91,153.99,Mid Value
Katherine Nockton,9,2617.27,153.96,Mid Value
Sean O'Donnell,6,2602.58,173.51,Mid Value
Stephanie Ulpright,7,2595.36,144.19,Mid Value
Helen Andreada,8,2584.16,143.56,Mid Value
Alejandro Grove,5,2582.90,184.49,Mid Value
Lena Cacioppo,8,2580.70,86.02,Mid Value
Steve Chapman,10,2576.41,184.03,Mid Value
Neola Schneider,4,2575.86,171.72,Mid Value
Beth Thompson,5,2567.66,285.30,Mid Value
Eleni McCrary,5,2567.01,366.72,Mid Value
Mary Zewe,6,2564.91,256.49,Mid Value
Bruce Stewart,7,2562.38,183.03,Mid Value
Deanra Eno,5,2550.87,283.43,Mid Value
Corey Catlett,7,2540.63,211.72,Mid Value
Ann Chong,5,2537.69,140.98,Mid Value
Charles McCrossin,6,2533.31,361.90,Mid Value
Herbert Flentye,7,2533.16,133.32,Mid Value
Fred McMath,9,2523.27,180.23,Mid Value
Julia Barnett,5,2518.11,279.79,Mid Value
Joy Smith,6,2516.49,139.81,Mid Value
Don Jones,8,2501.69,192.44,Mid Value
Amy Hunt,5,2495.39,311.92,Mid Value
Patrick O'Donnell,7,2493.21,191.79,Mid Value
Nick Zandusky,9,2488.31,124.42,Mid Value
Michael Nguyen,6,2477.95,247.79,Mid Value
Beth Paige,7,2475.16,154.70,Mid Value
Charles Crestani,7,2471.65,224.70,Mid Value
Nat Carroll,5,2461.40,144.79,Mid Value
Filia McAdams,10,2456.64,163.78,Mid Value
Mark Hamilton,8,2456.18,223.29,Mid Value
Brendan Sweed,6,2454.93,245.49,Mid Value
Valerie Mitchum,7,2454.87,204.57,Mid Value
George Zrebassa,4,2454.62,490.92,Mid Value
Michelle Arnett,6,2453.28,204.44,Mid Value
Bart Pistole,12,2442.04,122.10,Mid Value
Matt Collister,6,2426.07,142.71,Mid Value
Thea Hendricks,5,2422.82,346.12,Mid Value
Marc Harrigan,6,2394.02,184.16,Mid Value
David Flashing,3,2390.53,398.42,Mid Value
Xylona Preis,11,2374.66,84.81,Mid Value
Clytie Kelty,11,2372.75,94.91,Mid Value
Jennifer Ferguson,6,2371.45,169.39,Mid Value
Cynthia Voltz,9,2370.31,124.75,Mid Value
Nick Radford,5,2367.28,182.10,Mid Value
Jack Garza,3,2358.68,336.95,Mid Value
Andrew Gjertsen,8,2356.86,112.23,Mid Value
Craig Leslie,5,2353.59,294.20,Mid Value
Maureen Gastineau,4,2350.19,235.02,Mid Value
Roland Fjeld,7,2341.30,167.24,Mid Value
Elizabeth Moffitt,8,2339.60,146.22,Mid Value
Dean Braden,10,2332.58,111.08,Mid Value
Chris McAfee,5,2305.71,288.21,Mid Value
Michael Kennedy,8,2302.37,135.43,Mid Value
Lena Hernandez,9,2295.33,153.02,Mid Value
Kristina Nunn,8,2280.58,152.04,Mid Value
Jamie Frazer,7,2279.59,119.98,Mid Value
Fred Harton,4,2271.28,162.23,Mid Value
Craig Carreira,7,2269.70,162.12,Mid Value
Bobby Elias,5,2261.44,452.29,Mid Value
Kalyca Meade,6,2260.96,119.00,Mid Value
Matt Connell,8,2258.19,125.46,Mid Value
Justin Hirsh,4,2256.39,451.28,Mid Value
Maribeth Yedwab,7,2254.29,173.41,Mid Value
Ken Dana,5,2243.51,172.58,Mid Value
Tony Sayre,6,2243.27,160.23,Mid Value
Jason Gross,6,2240.58,203.69,Mid Value
Laurel Workman,5,2238.06,149.20,Mid Value
Allen Rosenblatt,5,2236.13,319.45,Mid Value
Greg Guthrie,9,2224.00,92.67,Mid Value
Nathan Cano,6,2218.99,158.50,Mid Value
Mick Crebagga,10,2218.98,116.79,Mid Value
Dave Poirier,8,2215.00,158.21,Mid Value
Phillip Flathmann,5,2206.13,220.61,Mid Value
Maya Herman,7,2203.78,200.34,Mid Value
Janet Lee,5,2203.70,220.37,Mid Value
Justin Ritter,5,2201.69,220.17,Mid Value
Edward Nazzal,4,2199.37,244.37,Mid Value
Toby Braunhardt,6,2198.45,199.86,Mid Value
Giulietta Weimer,7,2189.02,243.22,Mid Value
Bill Tyler,6,2186.61,218.66,Mid Value
Pamela Stobb,6,2181.48,103.88,Mid Value
Shahid Hopkins,10,2180.72,145.38,Mid Value
Kean Nguyen,5,2171.96,271.50,Mid Value
Daniel Byrd,8,2171.60,180.97,Mid Value
Roy Phan,8,2170.72,144.71,Mid Value
Theresa Swint,6,2163.62,127.27,Mid Value
Helen Abelman,7,2163.30,216.33,Mid Value
Ed Jacobs,4,2162.17,270.27,Mid Value
Neoma Murray,10,2161.98,144.13,Mid Value
John Dryer,5,2152.35,307.48,Mid Value
Clay Rozendal,4,2148.85,358.14,Mid Value
Duane Noonan,7,2139.79,194.53,Mid Value
Karen Carlisle,6,2120.95,212.10,Mid Value
Stefanie Holloman,2,2096.39,1048.20,Mid Value
Liz Carlisle,5,2095.06,232.78,Mid Value
Rob Haberlin,3,2085.74,189.61,Mid Value
Trudy Glocke,4,2074.66,207.47,Mid Value
Max Ludwig,7,2071.91,159.38,Mid Value
Roger Barcio,4,2067.45,295.35,Mid Value
Tom Stivers,5,2054.14,293.45,Mid Value
Art Ferguson,7,2052.91,128.31,Mid Value
Carlos Daly,5,2033.97,226.00,Mid Value
Nicole Fjeld,7,2031.47,169.29,Mid Value
Denny Joy,4,2012.52,402.50,Mid Value
Victoria Brennan,6,2005.60,200.56,Mid Value
Harold Pawlan,7,1990.31,199.03,Mid Value
Doug Bickford,7,1989.05,180.82,Mid Value
Paul Gonzalez,9,1987.16,116.89,Mid Value
Nona Balk,9,1972.60,116.04,Mid Value
Scott Williamson,6,1966.65,280.95,Mid Value
Lisa DeCherney,4,1961.93,280.28,Mid Value
Christy Brittain,8,1949.20,162.43,Mid Value
Tracy Poddar,4,1936.64,193.66,Mid Value
Jas O'Carroll,6,1934.27,175.84,Mid Value
Jay Fein,6,1911.84,119.49,Mid Value
Max Engle,8,1908.45,146.80,Mid Value
Susan Vittorini,8,1903.49,146.42,Mid Value
Katherine Ducich,6,1888.96,188.90,Mid Value
Giulietta Dortch,4,1888.07,314.68,Mid Value
Sheri Gordon,8,1884.80,134.63,Mid Value
Lisa Ryan,5,1879.31,156.61,Mid Value
Shaun Chance,7,1875.00,187.50,Mid Value
Brooke Gillingham,6,1874.17,234.27,Mid Value
Stephanie Phelps,9,1872.44,124.83,Mid Value
Nat Gilpin,5,1869.58,116.85,Mid Value
Cynthia Delaney,5,1860.73,124.05,Mid Value
Skye Norling,6,1860.42,124.03,Mid Value
Patrick Ryan,5,1840.18,153.35,Mid Value
Ashley Jarboe,7,1839.24,183.92,Mid Value
Pamela Coakley,4,1832.06,366.41,Mid Value
Emily Grady,5,1832.02,203.56,Mid Value
Pauline Johnson,7,1824.23,182.42,Mid Value
Noah Childs,5,1821.74,202.42,Mid Value
Janet Molinari,5,1804.15,138.78,Mid Value
Jennifer Braxton,10,1791.60,111.98,Mid Value
Andrew Allen,4,1790.51,149.21,Mid Value
Chad Cunningham,6,1770.95,136.23,Mid Value
Darrin Sayre,4,1762.21,92.75,Mid Value
Monica Federle,5,1758.30,146.52,Mid Value
Aaron Hawkins,7,1744.70,158.61,Mid Value
Logan Haushalter,9,1739.69,91.56,Mid Value
Ben Wallace,6,1738.41,173.84,Mid Value
Valerie Takahito,2,1736.60,192.96,Mid Value
Adrian Hane,7,1735.51,108.47,Mid Value
Mike Vittorini,7,1734.57,157.69,Mid Value
Jessica Myrick,7,1733.44,173.34,Mid Value
Brad Eason,6,1727.65,132.90,Mid Value
Denny Blanton,4,1711.69,122.26,Mid Value
Julie Prescott,9,1707.71,131.36,Mid Value
Tracy Zic,4,1707.29,189.70,Mid Value
Becky Pak,6,1697.86,154.35,Mid Value
Darren Koutras,5,1687.04,210.88,Mid Value
Meg O'Connel,8,1687.03,153.37,Mid Value
Ryan Akin,5,1686.92,187.44,Mid Value
Katrina Edelman,8,1686.73,112.45,Mid Value
Cathy Armstrong,5,1679.72,167.97,Mid Value
Candace McMahon,6,1673.89,167.39,Mid Value
Jennifer Patt,7,1669.13,111.28,Mid Value
Chad McGuire,4,1661.61,237.37,Mid Value
Cindy Chapman,9,1659.44,127.65,Mid Value
Erica Bern,4,1643.26,273.88,Mid Value
Anne Pryor,8,1638.55,86.24,Mid Value
Annie Zypern,6,1622.02,135.17,Mid Value
Maurice Satty,6,1613.40,107.56,Mid Value
Tim Brockman,7,1602.38,84.34,Mid Value
Craig Reiter,4,1600.55,266.76,Mid Value
Alan Haines,4,1587.45,198.43,Mid Value
Benjamin Farhat,4,1585.16,198.15,Mid Value
Cyma Kinney,9,1582.11,113.01,Mid Value
Mike Caudle,5,1582.00,143.82,Mid Value
James Lanier,5,1571.52,224.50,Mid Value
Karl Braun,9,1569.46,71.34,Mid Value
George Bell,11,1568.44,78.42,Mid Value
Odella Nelson,9,1567.52,104.50,Mid Value
Mark Van Huff,9,1560.05,104.00,Mid Value
Maria Bertelson,10,1548.70,81.51,Mid Value
Brian DeCherney,6,1538.11,192.26,Mid Value
Cathy Hwang,3,1537.24,384.31,Mid Value
Bruce Degenhardt,6,1526.50,152.65,Mid Value
Benjamin Venier,5,1523.27,108.81,Mid Value
Kelly Andreada,7,1519.51,138.14,Mid Value
Ann Blume,4,1515.86,189.48,Mid Value
John Grady,6,1507.02,167.45,Mid Value
Dan Lawera,8,1503.11,107.37,Mid Value
Zuschuss Donatelli,5,1493.94,165.99,Mid Value
Charlotte Melton,6,1475.14,210.73,Mid Value
Laurel Elliston,6,1469.45,163.27,Mid Value
Ted Butterfield,5,1467.88,81.55,Mid Value
Parhena Norris,8,1467.15,112.86,Mid Value
Ralph Kennedy,3,1460.19,182.52,Mid Value
Bradley Nguyen,5,1459.34,85.84,Mid Value
Delfina Latchford,8,1458.26,85.78,Mid Value
Philip Brown,8,1456.95,132.45,Mid Value
Andy Gerbode,4,1455.04,161.67,Mid Value
Raymond Messe,6,1453.47,161.50,Mid Value
Paul Knutson,2,1441.15,480.38,Mid Value
Tamara Dahlen,9,1434.55,89.66,Mid Value
Julia West,4,1428.73,204.10,Mid Value
Mick Brown,7,1428.23,142.82,Mid Value
Thomas Thornton,8,1427.04,95.14,Mid Value
Christine Abelman,4,1421.95,129.27,Mid Value
Roger Demir,10,1419.74,70.99,Mid Value
Nancy Lomonaco,4,1418.09,141.81,Mid Value
Jill Stevenson,4,1417.65,177.21,Mid Value
Paul MacIntyre,3,1405.40,351.35,Mid Value
Guy Armstrong,11,1398.38,63.56,Mid Value
Cyra Reiten,3,1397.87,199.70,Mid Value
Nathan Gelder,5,1395.94,155.10,Mid Value
Jeremy Ellison,6,1388.68,106.82,Mid Value
Troy Blackwell,5,1387.56,198.22,Mid Value
Frank Gastineau,7,1383.14,125.74,Mid Value
Don Miller,3,1376.79,137.68,Mid Value
Gene Hale,2,1361.24,453.75,Mid Value
Sarah Bern,3,1348.02,192.57,Mid Value
Liz MacKendrick,5,1346.77,192.40,Mid Value
Maureen Gnade,3,1342.28,191.75,Mid Value
Sarah Jordon,6,1341.04,134.10,Mid Value
Bryan Mills,10,1338.84,95.63,Mid Value
Barry Franz,4,1333.88,133.39,Mid Value
Saphhira Shifley,8,1324.03,63.05,Mid Value
Dario Medina,7,1322.03,146.89,Mid Value
Michelle Tran,4,1319.45,119.95,Mid Value
Shirley Jackson,5,1318.78,188.40,Mid Value
